id,country,city,open_response,primary_theme,sentiment_code
QLT054,Croatia,Split,Working with colleagues made difficult R exercises easier to understand.,peer support,negative
QLT055,Albania,Durrës,Working with colleagues made difficult R exercises easier to understand.,peer support,mixed
QLT056,Croatia,Rijeka,Peer feedback helped me notice mistakes in my interpretation.,peer support,positive
QLT057,Croatia,Rijeka,I study better when I put my phone away for a fixed period.,digital distraction,mixed
QLT058,Montenegro,Cetinje,The most useful strategy was solving small tasks every day.,exam preparation,positive
QLT059,Croatia,Split,Short comments on my code helped me correct mistakes quickly.,teacher feedback,positive
QLT060,Montenegro,Podgorica,I prefer discussing results in a small group before writing the final answer.,peer support,negative
QLT061,Serbia,Niš,"Online materials are useful, but I need structure to avoid distraction.",digital distraction,positive
QLT062,Albania,Durrës,Clear feedback helped me improve my report.,teacher feedback,positive
QLT063,Serbia,Novi Sad,I study better when I put my phone away for a fixed period.,digital distraction,negative
QLT064,Montenegro,Cetinje,Practice tests helped me understand what I know and what I need to repeat.,exam preparation,mixed
QLT065,Croatia,Rijeka,I learned that planning my week makes studying feel more manageable.,time management,negative
QLT066,Croatia,Rijeka,I study better when I put my phone away for a fixed period.,digital distraction,mixed
QLT067,Serbia,Niš,Short comments on my code helped me correct mistakes quickly.,teacher feedback,positive
QLT068,Slovenia,Ljubljana,Notifications often interrupt my concentration while I study.,digital distraction,mixed
QLT069,Serbia,Novi Sad,Clear feedback helped me improve my report.,teacher feedback,positive
QLT070,Slovenia,Ljubljana,Clear feedback helped me improve my report.,teacher feedback,positive
QLT071,Slovenia,Ljubljana,Clear feedback helped me improve my report.,teacher feedback,mixed
QLT072,Croatia,Split,Clear feedback helped me improve my report.,teacher feedback,positive
QLT073,North Macedonia,Ohrid,Notifications often interrupt my concentration while I study.,digital distraction,positive
QLT074,Montenegro,Cetinje,Notifications often interrupt my concentration while I study.,digital distraction,negative
QLT075,Serbia,Belgrade,Peer feedback helped me notice mistakes in my interpretation.,peer support,mixed
QLT076,North Macedonia,Bitola,I learned that planning my week makes studying feel more manageable.,time management,positive
QLT077,Croatia,Rijeka,Practice tests helped me understand what I know and what I need to repeat.,exam preparation,positive
QLT078,Croatia,Split,"My main challenge is balancing lectures, work, and family responsibilities.",time management,negative
QLT079,Croatia,Split,I learned that planning my week makes studying feel more manageable.,time management,negative
QLT080,North Macedonia,Skopje,"Online materials are useful, but I need structure to avoid distraction.",digital distraction,mixed
